avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
0.231,47,1986-07-10,,81,,,23,"185cm, 107kg",,,박병호,59,0.333,0.782,내야수,52,70,4,121,,삼성,,
,,2003-12-19,,,,,,"184cm, 92kg",,,박준용,66,,,투수,,,,,,삼성,,
,27,1987-07-13,5.95,,104,0,13,"184cm, 80kg",78 2/3,5,백정현,29,,,투수,,,,56,0,삼성,6,1.67
,,2004-02-28,,,,,,"187cm, 78kg",,,서현원,,,,투수,,,,,,삼성,,
,1,1984-03-17,1.08,,8,2,0,"182cm, 93kg",8 1/3,0,송은범,64,,,투수,,,,2,0,삼성,0,1.08
0.218,11,1993-08-14,,31,,,0,"176cm, 68kg",,,안주형,14,0.279,0.511,내야수,24,8,4,39,,삼성,,
0.174,5,2003-02-06,,4,,,0,"173cm, 72kg",,,양도근,68,0.321,0.582,내야수,5,2,0,8,,삼성,,
0.000,1,2000-04-13,,0,,,0,"175cm, 82kg",,,양우현,63,0.071,0.071,내야수,0,1,0,6,,삼성,,
,5,1992-08-23,7.62,,21,2,4,"189cm, 104kg",13,1,양현,19,,,투수,,,,10,0,삼성,0,2.00
,18,1982-07-15,4.91,,75,2,9,"178cm, 93kg",55,9,오승환,21,,,투수,,,,42,27,삼성,3,1.69
,42,2000-04-06,3.66,,150,0,17,"183cm, 92kg",159 2/3,6,원태인,18,,,투수,,,,119,0,삼성,15,1.20
,17,2005-07-13,5.29,,19,0,3,"190cm, 90kg",17,0,육선엽,4,,,투수,,,,11,0,삼성,0,2.12
0.286,22,1999-06-24,,46,,,7,"182cm, 93kg",,,윤정빈,31,0.378,0.831,외야수,26,20,1,47,,삼성,,
0.248,17,1999-10-26,,36,,,1,"180cm, 87kg",,,이병헌,23,0.335,0.632,포수,9,9,0,48,,삼성,,
,6,1990-11-04,3.90,,31,8,2,"180cm, 85kg",30,1,이상민,15,,,투수,,,,12,1,삼성,2,1.23
0.242,31,1993-08-03,,73,,,22,"178cm, 82kg",,,이성규,13,0.339,0.839,외야수,56,57,9,109,,삼성,,
,26,2000-08-26,8.56,,71,0,14,"174cm, 79kg",47 1/3,4,이승민,35,,,투수,,,,23,0,삼성,1,2.05
,37,2002-05-19,4.23,,88,0,9,"183cm, 102kg",87 1/3,4,이승현,57,,,투수,,,,68,0,삼성,6,1.43
,23,1991-11-20,4.48,,68,9,6,"181cm, 92kg",60 1/3,2,이승현,20,,,투수,,,,51,1,삼성,6,1.51
,4,1994-03-18,17.69,,29,0,2,"180cm, 76kg",9 2/3,0,이재익,1,,,투수,,,,6,0,삼성,1,3.41
0.260,58,2003-02-04,,101,,,14,"180cm, 82kg",,,이재현,7,0.365,0.784,내야수,71,66,2,83,,삼성,,
0.190,0,1999-06-03,,4,,,0,"184cm, 89kg",,,이창용,50,0.190,0.428,내야수,1,2,0,4,,삼성,,
,26,2004-08-14,7.40,,66,0,9,"184cm, 87kg",45,4,이호성,55,,,투수,,,,28,0,삼성,2,2.04
,30,1985-08-25,3.98,,60,28,4,"183cm, 94kg",54 1/3,1,임창민,45,,,투수,,,,50,1,삼성,2,1.66
,0,1988-04-08,135.00,,5,0,0,"190cm, 90kg",1/3,0,장필준,26,,,투수,,,,0,0,삼성,0,15.00
0.225,14,1992-10-24,,25,,,5,"182cm, 93kg",,,전병우,34,0.313,0.718,내야수,17,14,0,42,,삼성,,
,,2005-05-09,,,,,,"184cm, 98kg",,,정민성,67,,,투수,,,,,,삼성,,
,9,1989-10-11,6.92,,14,3,1,"178cm, 75kg",13,1,최성훈,54,,,투수,,,,10,0,삼성,0,1.77
,21,1998-03-13,2.23,,22,7,1,"173cm, 85kg",36 1/3,2,최지광,40,,,투수,,,,38,0,삼성,3,1.18
