avg,bb,birth,era,h,ha,hld,hr,hw,ip,l,name,no,obp,ops,position,r,rbi,sb,so,sv,team,w,whip
0.200,2,1989-07-07,,4,,,0,"178cm, 80kg",,,오선진,6,0.333,0.583,내야수,0,0,0,8,,롯데,,
,27,1989-05-24,3.84,,210,0,18,"188cm, 104kg",196 2/3,8,윌커슨,46,,,투수,,,,167,0,롯데,12,1.21
0.191,9,1992-07-15,,26,,,5,"182cm, 88kg",,,유강남,27,0.275,0.599,포수,11,20,0,25,,롯데,,
0.293,67,2003-09-18,,156,,,14,"187cm, 85kg",,,윤동희,91,0.376,0.829,외야수,97,85,7,114,,롯데,,
,2,1999-02-26,45.00,,4,0,1,"197cm, 90kg",1,1,윤성빈,45,,,투수,,,,1,0,롯데,0,6.00
,25,2003-12-10,7.26,,38,1,3,"189cm, 95kg",31,2,이민석,30,,,투수,,,,20,0,롯데,0,2.03
-,0,2005-02-22,,0,,,0,"180cm, 74kg",,,이선우,95,-,-,외야수,1,0,0,0,,롯데,,
,13,1991-06-18,9.55,,49,0,10,"187cm, 97kg",33,3,이인복,35,,,투수,,,,20,0,롯데,0,1.88
0.500,0,1998-12-24,,2,,,0,"183cm, 100kg",,,이인한,54,0.600,1.100,외야수,0,2,0,1,,롯데,,
0.300,13,1994-12-07,,30,,,0,"185cm, 90kg",,,이정훈,48,0.374,0.754,외야수,10,18,0,21,,롯데,,
0.167,1,1998-09-21,,4,,,1,"181cm, 86kg",,,이주찬,63,0.200,0.533,내야수,7,2,0,9,,롯데,,
,,2004-06-02,,,,,,"191cm, 96kg",,,이진하,,,,투수,,,,,,롯데,,
,,2004-02-21,,,,,,"180cm, 80kg",,,이태연,,,,투수,,,,,,롯데,,
0.263,6,1990-11-04,,25,,,2,"187cm, 87kg",,,이학주,7,0.320,0.709,내야수,13,4,0,44,,롯데,,
0.333,1,2004-03-20,,2,,,0,"172cm, 72kg",,,이호준,98,0.429,1.262,내야수,5,3,0,1,,롯데,,
,11,1989-07-16,7.94,,12,2,0,"181cm, 88kg",11 1/3,0,임준섭,57,,,투수,,,,3,0,롯데,0,2.03
0.156,3,1999-09-16,,5,,,0,"176cm, 75kg",,,장두성,13,0.270,0.426,외야수,23,1,14,9,,롯데,,
,21,2005-08-15,5.88,,33,5,4,"187cm, 100kg",33 2/3,5,전미르,61,,,투수,,,,34,1,롯데,1,1.60
0.293,49,1986-02-25,,124,,,17,"184cm, 98kg",,,전준우,8,0.369,0.854,외야수,57,82,3,84,,롯데,,
0.000,0,2004-11-16,,0,,,0,"185cm, 85kg",,,정대선,68,0.000,0.000,내야수,0,0,0,2,,롯데,,
0.226,3,1999-08-31,,30,,,2,"175cm, 94kg",,,정보근,42,0.243,0.529,포수,9,7,0,31,,롯데,,
,,1995-11-16,,,,,,"181cm, 93kg",,,정성종,18,,,투수,,,,,,롯데,,
,7,2000-03-17,4.32,,10,0,2,"180cm, 82kg",8 1/3,0,정우준,12,,,투수,,,,5,0,롯데,0,2.04
,12,2001-05-10,4.56,,20,1,0,"180cm, 84kg",23 2/3,1,정현수,37,,,투수,,,,25,0,롯데,1,1.35
0.267,35,1987-07-18,,76,,,9,"180cm, 85kg",,,정훈,9,0.343,0.775,내야수,31,47,1,63,,롯데,,
,기록이 없습니다.,1994-04-10,,,,,,"181cm, 105kg",,,지시완,,,,포수,,,,,,롯데,,
,5,2003-09-05,8.53,,7,0,0,"184cm, 108kg",6 1/3,1,진승현,26,,,투수,,,,5,0,롯데,0,1.89
,10,1986-06-26,6.18,,36,5,5,"187cm, 85kg",27 2/3,1,진해수,31,,,투수,,,,22,0,롯데,2,1.66
,,1992-02-20,,,,,,"179cm, 93kg",,,최설우,,,,투수,,,,,,롯데,,
,16,1999-04-10,7.30,,40,0,3,"182cm, 90kg",24 2/3,0,최이준,49,,,투수,,,,17,0,롯데,3,2.27
,14,2001-10-10,5.40,,28,3,2,"185cm, 85kg",21 2/3,2,최준용,56,,,투수,,,,12,0,롯데,1,1.94
0.250,10,1994-01-03,,33,,,0,"183cm, 88kg",,,최항,14,0.308,0.596,내야수,17,12,0,32,,롯데,,
-,0,1999-02-22,,0,,,0,"178cm, 86kg",,,추재현,41,-,-,외야수,1,0,1,0,,롯데,,
0.257,1,1999-06-01,,9,,,0,"182cm, 108kg",,,한동희,,0.278,0.592,내야수,1,3,0,9,,롯데,,
,24,1993-06-25,5.19,,92,8,7,"182cm, 98kg",76 1/3,3,한현희,1,,,투수,,,,70,0,롯데,5,1.52
,6,1993-01-13,9.00,,15,0,2,"188cm, 95kg",10,1,현도훈,17,,,투수,,,,8,0,롯데,0,2.10
,1,2001-07-20,12.27,,8,0,0,"185cm, 85kg",3 2/3,0,홍민기,38,,,투수,,,,2,0,롯데,0,2.45
0.320,31,1997-12-19,,117,,,4,"172cm, 76kg",,,황성빈,0,0.375,0.812,외야수,94,26,51,56,,롯데,,
,,1997-04-03,,,,,,"180cm, 89kg",,,강재민,,,,투수,,,,,,한화,,
0.271,3,1997-12-12,,13,,,4,"189cm, 102kg",,,권광민,17,0.314,0.897,외야수,10,9,0,17,,한화,,
0.224,8,1982-09-13,,17,,,1,"182cm, 87kg",,,김강민,9,0.322,0.585,외야수,5,7,0,21,,한화,,
,기록이 없습니다.,2000-02-23,,,,,,"183cm, 79kg",,,김건,56,,,내야수,,,,,,한화,,
,28,2002-08-23,7.02,,66,4,6,"183cm, 91kg",59,0,김규연,60,,,투수,,,,40,0,한화,1,1.59
,27,2002-11-16,6.56,,83,0,8,"186cm, 96kg",59,4,김기중,15,,,투수,,,,39,0,한화,5,1.86
,3,2001-01-05,54.00,,1,0,0,"190cm, 95kg",1/3,1,김도빈,62,,,투수,,,,1,0,한화,0,12.00
,6,1995-07-25,2.19,,7,0,2,"186cm, 123kg",12 1/3,0,김민우,53,,,투수,,,,13,0,한화,1,1.05
,20,1995-10-03,5.29,,33,4,11,"181cm, 92kg",34,0,김범수,47,,,투수,,,,38,0,한화,0,1.56
,32,2004-05-31,3.76,,31,10,0,"188cm, 86kg",38 1/3,2,김서현,54,,,투수,,,,43,0,한화,1,1.64
,0,2001-07-07,3.00,,4,0,0,"183cm, 85kg",3,0,김승일,69,,,투수,,,,2,0,한화,0,1.33
0.237,10,1994-01-28,,31,,,1,"186cm, 100kg",,,김인환,37,0.301,0.576,내야수,11,7,0,32,,한화,,
,,2000-01-13,,,,,,"176cm, 79kg",,,김진욱,,,,투수,,,,,,한화,,
0.291,45,1997-06-10,,120,,,12,"178cm, 96kg",,,김태연,25,0.363,0.799,내야수,59,61,5,89,,한화,,
,2,2001-02-12,0.00,,2,0,0,"181cm, 100kg",4,0,남지민,11,,,투수,,,,3,0,한화,0,1.00
0.272,60,2000-12-03,,143,,,24,"185cm, 105kg",,,노시환,8,0.356,0.810,내야수,88,89,6,129,,한화,,
,33,1987-03-25,3.87,,182,0,12,"190cm, 113kg",158 1/3,8,류현진,99,,,투수,,,,135,0,한화,10,1.36
,38,2003-12-23,5.17,,148,0,14,"188cm, 97kg",111 1/3,7,문동주,1,,,투수,,,,96,0,한화,7,1.67
0.277,24,2004-04-20,,72,,,5,"174cm, 82kg",,,문현빈,64,0.340,0.752,내야수,29,47,3,53,,한화,,
,18,1996-07-18,5.15,,114,0,10,"185cm, 95kg",92 2/3,7,바리아,20,,,투수,,,,83,0,한화,6,1.42
0.286,9,1997-03-03,,12,,,0,"185cm, 90kg",,,박상언,42,0.423,0.780,포수,4,4,1,12,,한화,,
,22,1994-09-09,4.59,,57,16,2,"187cm, 98kg",66 2/3,3,박상원,58,,,투수,,,,65,2,한화,3,1.19
,3,1999-11-18,16.20,,4,0,0,"184cm, 90kg",1 2/3,0,배민서,39,,,투수,,,,1,0,한화,0,4.20
,21,1997-04-11,4.22,,60,0,2,"178cm, 99kg",53 1/3,3,산체스,34,,,투수,,,,56,0,한화,2,1.52
,,2000-01-29,,,,,,"181cm, 68kg",,,성지훈,97,,,투수,,,,,,한화,,
0.300,49,1990-07-02,,142,,,13,"178cm, 97kg",,,안치홍,3,0.370,0.797,내야수,64,66,3,70,,한화,,
,29,1996-12-10,3.73,,77,0,8,"193cm, 100kg",91 2/3,5,와이스,55,,,투수,,,,98,0,한화,5,1.16
0.222,3,2000-05-30,,8,,,0,"186cm, 83kg",,,유로결,33,0.282,0.532,외야수,6,4,0,11,,한화,,
,6,1994-04-09,10.57,,10,0,1,"179cm, 81kg",7 2/3,0,윤대경,5,,,투수,,,,7,0,한화,0,2.09
0.277,26,1996-10-07,,93,,,1,"175cm, 79kg",,,이도윤,7,0.332,0.665,내야수,49,46,6,56,,한화,,
0.000,0,1987-12-26,,0,,,0,"183cm, 87kg",,,이명기,14,0.000,0.000,외야수,0,1,0,3,,한화,,
,23,1993-02-09,3.76,,56,10,5,"185cm, 104kg",55,1,이민우,27,,,투수,,,,49,1,한화,2,1.44
,기록이 없습니다.,2004-02-02,,,,,,"185cm, 74kg",,,이민준,49,,,내야수,,,,,,한화,,
,15,1996-10-20,5.63,,39,0,5,"185cm, 77kg",32,4,이상규,18,,,투수,,,,27,0,한화,1,1.69
0.154,2,2001-09-14,,2,,,0,"174cm, 65kg",,,이상혁,65,0.267,0.421,외야수,13,0,5,5,,한화,,
0.233,16,1999-03-31,,31,,,0,"177cm, 69kg",,,이원석,50,0.322,0.600,외야수,26,13,8,32,,한화,,
,기록이 없습니다.,1999-02-28,,,,,,"182cm, 86kg",,,이재용,12,,,포수,,,,,,한화,,
0.239,7,1988-02-24,,32,,,1,"185cm, 98kg",,,이재원,32,0.287,0.578,포수,10,16,0,21,,한화,,
0.204,8,1997-07-21,,19,,,1,"183cm, 89kg",,,이진영,45,0.282,0.583,외야수,20,13,0,27,,한화,,
,3,1994-09-20,3.86,,4,0,0,"182cm, 82kg",2 1/3,0,이충호,19,,,투수,,,,3,0,한화,0,3.00
,2,1990-07-03,11.57,,17,0,4,"192cm, 97kg",9 1/3,2,이태양,46,,,투수,,,,2,0,한화,0,2.04
0.158,6,2001-09-28,,9,,,0,"184cm, 85kg",,,임종찬,24,0.250,0.531,외야수,10,7,0,19,,한화,,
0.000,1,2002-06-28,,0,,,0,"183cm, 96kg",,,장규현,96,0.143,0.143,포수,0,0,0,1,,한화,,
,7,1990-03-19,3.10,,46,0,2,"184cm, 106kg",29,1,장민재,36,,,투수,,,,17,0,한화,1,1.83
,22,1987-11-01,5.13,,34,2,3,"184cm, 97kg",33 1/3,2,장시환,28,,,투수,,,,28,0,한화,2,1.68
,10,2000-05-25,10.93,,23,0,0,"179cm, 80kg",14,0,장지수,40,,,투수,,,,11,0,한화,0,2.36
0.263,29,1993-09-30,,76,,,9,"184cm, 90kg",,,장진혁,51,0.335,0.747,외야수,56,44,14,72,,한화,,
,기록이 없습니다.,2005-01-26,,,,,,"183cm, 78kg",,,정안석,116,,,내야수,,,,,,한화,,
,0,1985-06-01,-,,1,0,0,"181cm, 83kg",0,0,정우람,57,,,투수,,,,0,0,한화,0,-
0.172,13,2000-01-17,,11,,,1,"177cm, 84kg",,,정은원,43,0.312,0.609,내야수,10,6,2,16,,한화,,
,,2000-03-07,,,,,,"190cm, 89kg",,,정이황,31,,,투수,,,,,,한화,,
,14,2004-11-02,6.37,,57,0,5,"190cm, 82kg",41,2,조동욱,68,,,투수,,,,32,0,한화,1,1.73
,기록이 없습니다.,2000-10-20,,,,,,"182cm, 77kg",,,조한민,48,,,내야수,,,,,,한화,,
,8,1992-08-10,2.65,,52,2,9,"177cm, 92kg",71 1/3,4,주현상,66,,,투수,,,,64,23,한화,8,0.84
0.271,49,1990-02-06,,118,,,20,"186cm, 92kg",,,채은성,22,0.351,0.814,외야수,61,83,1,83,,한화,,
0.286,25,2000-01-30,,60,,,2,"178cm, 82kg",,,최인호,41,0.367,0.762,외야수,37,22,3,31,,한화,,
0.257,33,1989-08-27,,72,,,4,"178cm, 94kg",,,최재훈,13,0.371,0.707,포수,34,37,0,58,,한화,,
,20,1990-01-25,6.27,,41,0,6,"188cm, 99kg",37 1/3,5,페냐,,,,투수,,,,29,0,한화,3,1.63
0.275,63,1998-11-10,,125,,,24,"175cm, 88kg",,,페라자,30,0.364,0.850,외야수,75,70,7,129,,한화,,
0.292,10,1994-02-25,,40,,,1,"185cm, 92kg",,,하주석,16,0.349,0.743,내야수,16,11,1,33,,한화,,
0.000,0,1998-12-11,,0,,,0,"178cm, 69kg",,,한경빈,6,0.000,0.000,내야수,0,0,0,1,,한화,,
,10,2001-03-17,11.45,,45,0,2,"184cm, 83kg",22,2,한승주,59,,,투수,,,,14,0,한화,0,2.50
,38,1993-01-03,5.03,,63,19,2,"185cm, 100kg",62 2/3,5,한승혁,26,,,투수,,,,64,0,한화,5,1.61
,기록이 없습니다.,1999-02-12,,,,,,"176cm, 93kg",,,허관회,10,,,포수,,,,,,한화,,
0.301,31,1999-10-16,,105,,,3,"177cm, 80kg",,,황영묵,95,0.365,0.737,내야수,52,35,4,56,,한화,,
,51,2005-08-22,5.38,,80,1,9,"185cm, 78kg",72,8,황준서,29,,,투수,,,,70,0,한화,2,1.82
,,2003-07-14,,,,,,"186cm, 84kg",,,강건준,,,,투수,,,,,,NC,,
0.300,77,1990-12-30,,125,,,13,"177cm, 85kg",,,권희동,36,0.417,0.869,외야수,66,77,4,63,,NC,,
,3,2001-09-07,5.68,,8,0,0,"183cm, 84kg",6 1/3,0,김민규,63,,,투수,,,,2,0,NC,0,1.74
,,2005-01-18,,,,,,"188cm, 88kg",,,김민균,9,,,투수,,,,,,NC,,
0.000,0,2000-04-20,,0,,,0,"183cm, 90kg",,,김범준,66,0.000,0.000,외야수,0,0,0,2,,NC,,
0.204,31,1993-05-01,,73,,,17,"181cm, 83kg",,,김성욱,38,0.291,0.671,외야수,55,60,10,79,,NC,,
0.000,1,2005-04-04,,0,,,0,"174cm, 77kg",,,김세훈,84,0.200,0.200,내야수,0,0,0,2,,NC,,
0.222,1,1998-07-16,,2,,,0,"180cm, 83kg",,,김수윤,3,0.300,0.522,내야수,0,0,0,4,,NC,,
,59,1999-02-24,4.53,,110,5,7,"188cm, 95kg",107 1/3,4,김시훈,21,,,투수,,,,74,0,NC,3,1.57
,14,2000-02-10,3.15,,40,14,3,"188cm, 86kg",45 2/3,2,김영규,17,,,투수,,,,48,1,NC,4,1.18
,29,1996-01-02,2.49,,58,12,4,"183cm, 97kg",68 2/3,5,김재열,32,,,투수,,,,67,2,NC,1,1.27
0.252,51,2002-07-30,,97,,,9,"185cm, 83kg",,,김주원,7,0.371,0.750,내야수,61,49,16,111,,NC,,
,2,1998-06-07,7.71,,3,0,0,"183cm, 90kg",2 1/3,0,김진호,54,,,투수,,,,3,0,NC,0,2.14
,7,1998-03-21,7.20,,14,0,3,"188cm, 95kg",10,0,김태현,15,,,투수,,,,3,0,NC,0,2.10
0.318,2,2001-01-18,,14,,,0,"177cm, 85kg",,,김한별,68,0.400,0.741,내야수,8,3,0,9,,NC,,
0.195,45,1999-11-02,,69,,,17,"187cm, 98kg",,,김형준,25,0.285,0.658,포수,39,50,0,144,,NC,,
,,2005-08-27,,,,,,"191cm, 105kg",,,김휘건,59,,,투수,,,,,,NC,,
0.258,52,2002-01-01,,126,,,16,"180cm, 92kg",,,김휘집,44,0.337,0.747,내야수,78,73,4,119,,NC,,
0.306,39,1991-03-26,,154,,,46,"190cm, 104kg",,,데이비슨,24,0.370,1.003,내야수,90,119,0,142,,NC,,
0.214,24,1993-03-18,,31,,,0,"184cm, 85kg",,,도태훈,16,0.345,0.586,내야수,20,15,1,29,,NC,,
,19,1996-10-10,5.74,,52,10,4,"189cm, 88kg",42 1/3,1,류진욱,41,,,투수,,,,37,0,NC,2,1.68
,10,2004-05-11,12.00,,15,0,1,"181cm, 83kg",9,1,목지훈,73,,,투수,,,,3,0,NC,0,2.78
,기록이 없습니다.,1998-01-31,,,,,,"185cm, 79kg",,,문상인,,,,포수,,,,,,NC,,
0.344,33,1990-09-08,,111,,,13,"184cm, 80kg",,,박건우,37,0.409,0.951,외야수,58,53,4,54,,NC,,
0.328,54,1993-02-06,,150,,,8,"185cm, 80kg",,,박민우,2,0.406,0.852,내야수,75,50,32,79,,NC,,
0.264,14,1990-01-09,,39,,,1,"181cm, 86kg",,,박세혁,10,0.337,0.682,포수,21,10,4,43,,NC,,
0.234,14,2001-05-30,,33,,,2,"185cm, 85kg",,,박시원,39,0.301,0.627,외야수,17,17,3,46,,NC,,
0.500,1,1997-07-16,,3,,,0,"182cm, 88kg",,,박영빈,101,0.571,1.404,외야수,3,1,2,3,,NC,,
,기록이 없습니다.,1996-01-11,,,,,,"178cm, 84kg",,,박주찬,6,,,내야수,,,,,,NC,,
,1,1999-08-03,6.00,,3,0,1,"184cm, 85kg",3,0,박주현,67,,,투수,,,,4,0,NC,0,1.33
0.185,6,2004-04-26,,12,,,7,"181cm, 90kg",,,박한결,60,0.254,0.777,외야수,8,14,0,29,,NC,,
,15,1995-02-24,7.32,,20,0,5,"186cm, 95kg",19 2/3,1,배재환,61,,,투수,,,,13,0,NC,0,1.78
,8,1997-09-05,9.39,,5,0,1,"194cm, 115kg",7 2/3,0,서의태,58,,,투수,,,,7,0,NC,1,1.70
0.285,30,1996-10-16,,146,,,10,"179cm, 85kg",,,서호철,5,0.342,0.735,내야수,68,61,1,101,,NC,,
,1,1999-02-09,13.50,,6,0,0,"185cm, 93kg",3 1/3,0,소이현,50,,,투수,,,,1,0,NC,0,2.10
0.285,16,1988-03-18,,95,,,7,"174cm, 84kg",,,손아섭,31,0.314,0.710,외야수,45,50,6,65,,NC,,
,2,2002-01-05,9.82,,2,0,0,"177cm, 85kg",3 2/3,1,손주환,94,,,투수,,,,4,0,NC,0,1.09
,17,2000-08-09,5.87,,40,4,4,"191cm, 93kg",38 1/3,1,송명기,11,,,투수,,,,31,0,NC,2,1.49
0.200,0,2000-10-28,,1,,,0,"183cm, 93kg",,,송승환,8,0.200,0.400,외야수,1,0,0,1,,NC,,
,16,1999-02-04,4.31,,140,0,20,"184cm, 95kg",121,9,신민혁,53,,,투수,,,,74,0,NC,8,1.29
,15,2004-04-21,10.61,,9,0,0,"182cm, 84kg",9 1/3,1,신영우,43,,,투수,,,,6,0,NC,0,2.57
0.000,0,2003-10-11,,0,,,0,"181cm, 91kg",,,신용석,42,0.000,0.000,포수,0,0,0,0,,NC,,
,,1993-02-01,,,,,,"185cm, 86kg",,,심창민,18,,,투수,,,,,,NC,,
0.286,3,1995-09-01,,6,,,2,"176cm, 87kg",,,안중열,1,0.360,0.979,포수,5,4,0,7,,NC,,
0.200,2,2000-01-30,,6,,,3,"178cm, 93kg",,,오영수,34,0.265,0.765,내야수,4,5,0,6,,NC,,
,20,1989-07-29,5.72,,51,0,5,"188cm, 93kg",39 1/3,4,요키시,20,,,투수,,,,32,0,NC,3,1.81
,기록이 없습니다.,1994-01-31,,,,,,"186cm, 97kg",,,윤형준,52,,,내야수,,,,,,NC,,
,14,2002-05-08,6.68,,42,0,5,"180cm, 95kg",33 2/3,3,이용준,48,,,투수,,,,26,0,NC,2,1.66
,21,1989-01-02,6.13,,82,2,6,"185cm, 85kg",54 1/3,9,이용찬,22,,,투수,,,,49,16,NC,3,1.90
,42,1990-10-04,5.52,,108,0,17,"181cm, 84kg",104 1/3,12,이재학,51,,,투수,,,,97,0,NC,3,1.44
,26,2000-03-27,7.48,,71,2,7,"181cm, 85kg",49 1/3,5,이준호,27,,,투수,,,,42,0,NC,3,1.97
,23,2005-07-16,6.47,,46,0,5,"184cm, 89kg",40 1/3,5,임상현,28,,,투수,,,,21,0,NC,1,1.71
,25,1990-04-16,4.42,,54,9,3,"188cm, 90kg",55,6,임정호,13,,,투수,,,,46,2,NC,1,1.44
,,2001-09-15,,,,,,"183cm, 73kg",,,임형원,12,,,투수,,,,,,NC,,
,9,2000-06-09,22.24,,15,0,0,"185cm, 80kg",5 2/3,0,전루건,47,,,투수,,,,0,0,NC,0,4.24
,17,1999-07-06,9.51,,39,0,3,"194cm, 85kg",23 2/3,0,전사민,57,,,투수,,,,17,0,NC,0,2.37
,기록이 없습니다.,2002-09-10,,,,,,"182cm, 69kg",,,조현진,46,,,내야수,,,,,,NC,,
,3,1995-07-11,12.00,,6,0,0,"180cm, 70kg",3,0,채원후,19,,,투수,,,,2,0,NC,0,3.00
0.284,13,1994-04-01,,61,,,5,"181cm, 83kg",,,천재환,23,0.335,0.740,외야수,31,33,8,52,,NC,,
,기록이 없습니다.,1998-10-16,,,,,,"181cm, 88kg",,,최보성,49,,,내야수,,,,,,NC,,
,17,1997-04-28,5.79,,65,1,7,"180cm, 85kg",46 2/3,0,최성영,26,,,투수,,,,29,1,NC,2,1.76
,6,2005-03-31,3.12,,7,0,2,"190cm, 90kg",8 2/3,0,최우석,64,,,투수,,,,8,0,NC,0,1.50
0.282,17,2000-06-24,,37,,,1,"176cm, 70kg",,,최정원,14,0.377,0.721,내야수,33,14,7,34,,NC,,
,25,1994-09-17,4.35,,117,0,11,"190cm, 104kg",111 2/3,6,카스타노,,,,투수,,,,89,0,NC,8,1.27
,38,1992-11-23,2.69,,124,0,11,"196cm, 90kg",157,3,하트,30,,,투수,,,,182,0,NC,13,1.03
0.247,2,1994-05-17,,18,,,0,"181cm, 73kg",,,한석현,33,0.276,0.605,외야수,10,3,2,22,,NC,,
,27,2001-11-21,3.97,,37,6,2,"180cm, 90kg",45 1/3,2,한재승,55,,,투수,,,,44,0,NC,1,1.41
0.222,0,2001-10-19,,2,,,0,"177cm, 89kg",,,한재환,35,0.222,0.555,내야수,1,1,0,3,,NC,,
,,2005-05-17,,,,,,"188cm, 96kg",,,홍유원,102,,,투수,,,,,,NC,,
0.256,28,2001-06-21,,65,,,0,"173cm, 80kg",,,고영우,44,0.329,0.648,내야수,21,35,0,71,,키움,,
0.257,18,2004-11-07,,67,,,9,"186cm, 96kg",,,김건희,12,0.300,0.718,내야수,27,38,0,82,,키움,,
,2,2004-07-09,54.00,,1,0,0,"194cm, 100kg",1/3,0,김동규,43,,,투수,,,,0,0,키움,0,9.00
,6,1997-05-16,5.00,,33,3,4,"178cm, 83kg",36,1,김동욱,65,,,투수,,,,18,0,키움,2,1.08
0.200,1,2004-07-15,,1,,,0,"182cm, 91kg",,,김동헌,22,0.429,0.629,포수,0,1,0,0,,키움,,
,10,2001-12-27,6.85,,27,0,7,"184cm, 84kg",22 1/3,2,김동혁,60,,,투수,,,,9,0,키움,0,1.66
0.169,6,2001-02-16,,10,,,1,"177cm, 79kg",,,김병휘,0,0.300,0.571,내야수,6,3,0,26,,키움,,
,30,1991-09-01,5.54,,91,0,13,"187cm, 98kg",76 1/3,4,김선기,49,,,투수,,,,43,0,키움,6,1.59
,17,1994-04-26,4.34,,45,14,5,"181cm, 90kg",45 2/3,4,김성민,8,,,투수,,,,34,0,키움,3,1.36
0.000,0,1998-03-20,,0,,,0,"180cm, 91kg",,,김수환,13,0.000,0.000,내야수,0,0,0,1,,키움,,
0.143,0,2001-10-31,,1,,,0,"177cm, 79kg",,,김시앙,26,0.143,0.286,포수,1,0,0,1,,키움,,
,17,2004-02-27,6.61,,34,1,5,"175cm, 75kg",31 1/3,1,김연주,68,,,투수,,,,18,0,키움,1,1.63
0.125,4,1996-02-09,,4,,,0,"182cm, 97kg",,,김웅빈,10,0.243,0.368,내야수,2,2,0,15,,키움,,
,35,2005-03-07,6.04,,93,2,6,"185cm, 90kg",79,6,김윤하,19,,,투수,,,,43,0,키움,1,1.62
,31,2000-01-12,5.40,,75,0,9,"187cm, 91kg",63 1/3,7,김인범,67,,,투수,,,,27,0,키움,2,1.67
,12,1998-10-22,3.42,,24,7,2,"171cm, 86kg",23 2/3,2,김재웅,,,,투수,,,,19,0,키움,0,1.52
0.243,14,1993-03-18,,70,,,0,"178cm, 90kg",,,김재현,32,0.297,0.578,포수,27,26,1,63,,키움,,
0.150,1,1996-03-05,,3,,,0,"173cm, 84kg",,,김주형,6,0.292,0.442,내야수,0,2,0,9,,키움,,
,기록이 없습니다.,2004-05-27,,,,,,"174cm, 91kg",,,김지성,97,,,포수,,,,,,키움,,
0.222,7,1995-10-07,,42,,,0,"169cm, 73kg",,,김태진,1,0.249,0.535,내야수,26,10,0,27,,키움,,
0.326,47,1999-01-27,,166,,,11,"179cm, 80kg",,,김혜성,3,0.383,0.841,내야수,90,75,30,62,,키움,,
0.330,39,1995-05-19,,126,,,11,"183cm, 100kg",,,도슨,27,0.399,0.907,외야수,69,57,2,54,,키움,,
,25,1991-11-09,6.57,,54,2,3,"182cm, 89kg",38 1/3,2,문성현,21,,,투수,,,,31,3,키움,1,2.06
,4,2004-05-28,13.50,,7,0,1,"183cm, 75kg",5 1/3,1,박범준,45,,,투수,,,,8,0,키움,0,2.06
0.222,1,2004-04-21,,2,,,0,"177cm, 94kg",,,박성빈,64,0.364,0.697,포수,1,2,0,2,,키움,,
0.256,13,1999-02-25,,33,,,0,"178cm, 82kg",,,박수종,14,0.333,0.643,외야수,23,6,3,17,,키움,,
,9,1994-02-12,6.75,,16,0,2,"183cm, 96kg",17 1/3,1,박승주,42,,,투수,,,,13,0,키움,0,1.44
,9,2004-02-08,5.79,,14,1,5,"183cm, 96kg",18 2/3,0,박윤성,00,,,투수,,,,14,0,키움,0,1.23
0.102,10,2001-04-16,,5,,,0,"187cm, 87kg",,,박주홍,57,0.254,0.397,외야수,5,1,2,17,,키움,,
0.000,0,1999-03-07,,0,,,0,"177cm, 89kg",,,박준형,96,0.000,0.000,포수,0,0,0,3,,키움,,
,기록이 없습니다.,2003-04-25,,,,,,"181cm, 87kg",,,박찬혁,,,,외야수,,,,,,키움,,
0.251,11,1997-04-04,,55,,,5,"180cm, 80kg",,,변상권,56,0.289,0.631,외야수,16,21,0,51,,키움,,
,8,2005-10-22,7.53,,17,0,2,"188cm, 88kg",14 1/3,1,손현기,63,,,투수,,,,9,0,키움,0,1.74
0.340,64,1996-08-29,,179,,,19,"183cm, 88kg",,,송성문,24,0.409,0.927,내야수,88,104,21,82,,키움,,
0.000,0,2005-01-08,,0,,,0,"175cm, 74kg",,,송지후,94,0.000,0.000,내야수,1,0,0,0,,키움,,
-,0,2001-06-21,,0,,,0,"177cm, 80kg",,,신준우,37,-,-,내야수,0,0,0,0,,키움,,
-,0,2005-05-28,,0,,,0,"183cm, 84kg",,,심휘윤,4,-,-,내야수,0,0,0,0,,키움,,
,13,1998-12-16,6.27,,16,3,1,"185cm, 103kg",18 2/3,2,양지율,55,,,투수,,,,7,0,키움,0,1.55
,,2004-07-21,,,,,,"184cm, 82kg",,,오상원,39,,,투수,,,,,,키움,,
,11,1998-04-14,11.12,,28,0,0,"180cm, 74kg",17,1,오석주,31,,,투수,,,,16,0,키움,1,2.29
0.250,10,2000-03-31,,28,,,2,"181cm, 80kg",,,원성준,33,0.306,0.654,내야수,12,11,2,36,,키움,,
,3,1987-07-31,4.91,,4,0,0,"182cm, 88kg",3 2/3,0,원종현,46,,,투수,,,,4,0,키움,0,1.91
,7,2003-07-04,11.42,,31,0,3,"185cm, 81kg",17 1/3,1,윤석원,95,,,투수,,,,1,0,키움,0,2.19
,2,1993-05-17,9.00,,4,0,0,"186cm, 100kg",3,0,윤정현,99,,,투수,,,,1,0,키움,0,2.00
,5,2002-12-05,8.18,,20,0,4,"180cm, 84kg",11,1,이명종,38,,,투수,,,,4,0,키움,0,2.27
0.108,2,2004-07-02,,4,,,0,"185cm, 75kg",,,이승원,92,0.154,0.289,내야수,3,1,0,13,,키움,,
0.306,31,1985-08-26,,56,,,1,"170cm, 74kg",,,이용규,15,0.429,0.801,외야수,27,12,2,33,,키움,,
0.220,14,1986-10-21,,20,,,0,"181cm, 82kg",,,이원석,17,0.330,0.594,내야수,5,8,0,18,,키움,,
